species|ecology|status|trends|world distribution
Primula farinosa|A short-lived perennial herb typical of wet, usually spring-fed, calcareous flushes. It is often found on hummocks in springs, and on seeping banks where slippage has opened up the turf, most commonly on open marl. A few sites remain in unimproved, grazed, damp pasture. It perennates as resting-buds and reproduces by seed. 0-570 m (Jeffrey Pot, Wensleydale, N.W. Yorks.), but generally 200-400 m.|Native|P. farinosa is still frequent in suitable habitats, but local floras detail many losses due to drainage and agricultural improvement.|Eurasian Boreal-montane element, with a disjunct distribution.     © P. Shannon
Primula scotica|A perennial herb, growing in a variety of moist but well-drained, usually heavily grazed, open grassland habitats that are often on calcareous substrates and sometimes liable to some sand accretion. Sites include cliff-tops, the transition zone between grassland and maritime heath, mosaics of heath and machair, and around rock outcrops. It is self-fertile, but many plants never flower. Lowland.|Native|This species can be adversely affected by both under- and over-grazing, most losses being attributed to one or the other. Its overall distribution is, however, unchanged since the 1962 Atlas.|Endemic.
Primula veris|A perennial herb of well-drained, herb-rich grasslands on mesic to calcareous soils; less commonly on seasonally flooded soils, in scrub or woodland rides and edges, and on calcareous cliffs. 0-750 m (Knock Ore Gill, Westmorland), and exceptionally at 845 m (Great Dun Fell, Westmorland).|Native|P. veris suffered a marked decline between 1930 and 1980 due to the ploughing or agricultural improvement of grassland. It has, however, recently become more frequent on road verges sown with this species or with wild-flower mixtures. The current map shows little change from the 1962 Atlas.|Eurosiberian Temperate element.     © K.J. Walker, BSBI
Primula vulgaris|An evergreen, or sometimes aestivating, perennial herb typical of sites shaded from hot sun, found in woodland, on N.-facing banks, in hedgerows, coastal slopes and shaded montane cliffs. Reproduction is by seed, which is usually dispersed by ants. 0-850 m (Mt Brandon, S. Kerry).|Native|Unlike P. veris, populations of P. vulgaris have not fluctuated markedly during the last century in most parts of Britain and Ireland. However, in East Anglia woodland populations have declined greatly in response to a series of hot, dry summers from 1970 onwards (Rackham, 1999).|European Temperate element.
Prunella vulgaris|A patch-forming perennial herb of neutral and calcareous grassland, growing in clearings in woods, in meadows, pastures and lawns, on roadsides and waste ground, typically associated with moist, fertile soils. It forms clonal patches in short-grazed turf and spreads by the detachment of daughter ramets. 0-755 m (Knock Fell, Westmorland), and 845 m on Great Dun Fell (Westmorland).|Native|P. vulgaris is very frequent throughout Britain and Ireland, and in areas where it has been mapped in detail it has usually proved to be present in almost all tetrads. There is no evidence for a change in overall distribution.|Circumpolar Wide-temperate element; widely naturalised outside its native range.     © M. Cotterill, IWNHAS
Prunus avium|The natural habitats of this small to medium-sized tree include deciduous woodland and hedges on fertile soils, but it is widely planted as an ornamental or fruit tree in parks and gardens. It spreads by fruit and suckers. 0-400 m (N. of Garrigill, Cumberland).|Native|The distribution of P. avium has not changed since the 1962 Atlas. It is frequently difficult to decide whether populations are native or alien, and all records have been mapped here as if they are native.|European Temperate element; widely naturalised outside its native range.     © P. Shannon
Prunus cerasifera|A shrub or small tree of roadsides, hedges, woods and copses and ornamental plantings. It rarely if ever suckers, and only occasionally sets fruit. Lowland.|Neophyte|There is considerable doubt about the history of this species in Britain. Known in cultivation in the 16th century, it was not recorded until the 20th century in many areas where it is now frequent. It may have been overlooked by recorders unaware of its early flowering, and there has been a vast increase in 10-km square records since the 1962 Atlas as this character has become more widely known. It may also be confused with varieties of P. domestica and P. spinosa.|Native of S.E. Europe, S.W. & C. Asia.     © P. Shannon
Prunus cerasus|A shrub or small tree of hedgerows, copses and wood-borders. It spreads by fruit or suckers, and can sometimes form dense thickets. Lowland.|Archaeophyte|Cultivars of this species were being grown in the 16th century, and it is one of the parents of the Morello Cherry. Most populations have been deliberately planted, rather than bird-sown. The 1962 Atlas indicated a strong decline in England prior to 1930, but P. cerasus is much confused with P. avium and its past and present distribution is to that extent uncertain. There has been a small decline since the 1962 Atlas.|Native of S.W. Asia.
Prunus domestica|A shrub or tree, naturalised in hedges, wood-borders, scrub and waste places. Lowland.|Archaeophyte|This species has been grown in gardens since at least 995 (Harvey, 1981) and known from the wild since 1777. Three subspecies, subsp. domestica (plum), subsp. insititia (bullace) and subsp. italica (greengage) are often recognised. Many plants are relics of cultivation, but subsp. domestica is still being introduced from discarded plum stones. Although its overall range is similar to that in the 1962 Atlas, it is much better recorded.|Apparently derived from hybrids of P. cerasifera and P. spinosa; such hybrids occur in the Caucasus but P. domestica has been much modified in cultivation.     © P. Shannon
Prunus laurocerasus|A glossy-leaved evergreen shrub or small tree, naturalised in woods and scrub, and sometimes self-sown. Layering can occur when the branches of old trees lie on the ground. Lowland.|Neophyte|P. laurocerasus was being cultivated in Britain by 1629 and was known from the wild by 1886. It is now commonly planted for amenity, and the current map shows a much greater frequency than in the 1962 Atlas.|Native of the Balkan peninsula.
Prunus lusitanica|An evergreen shrub, frequently planted in parks and gardens, and now well-established in woods, scrub and on waste ground. It is frequently self-sown. Lowland.|Neophyte|P. lusitanica, cultivated in Britain by 1648, is less commonly planted than P. laurocerasus. It was noted in the wild by 1927, and may be unevenly recorded.|Native of the Iberian peninsula.
Prunus padus|A deciduous shrub or small tree of moist woodland and scrub, streamsides and shaded rocky places; also in fen-carr in East Anglia. It occurs on a wide variety of soil types, but is most frequent on damp calcareous or base-rich substrates, and avoids very dry or very acidic conditions. It spreads by fruit and suckers, often forming thickets. 0-650 m (Dove Crag, Westmorland).|Native|The distribution of P. padus is largely unchanged since the 1962 Atlas. It is widely planted both within, and to the south of, its native range. The distinction between native and alien populations is sometimes unclear.|Eurasian Boreo-temperate element.     © P. Shannon
